Revenue,Size,Rating,Headquarters
Unknown / Non-Applicable,501 to 1000 employees,3.3,"Chicago, IL"
$1 to $2 billion (USD),5001 to 10000 employees,4.1,"Wilsonville, OR"
$100 to $500 million (USD),1001 to 5000 employees,3.6,"Princeton, NJ"
$25 to $50 million (USD),51 to 200 employees,4.5,"Falls Church, VA"
Unknown / Non-Applicable,501 to 1000 employees,3.3,"Chicago, IL"
$10+ billion (USD),10000+ employees,3.4,"Boston, MA"
$100 to $500 million (USD),501 to 1000 employees,4.3,"Folsom, CA"
$2 to $5 billion (USD),5001 to 10000 employees,3.5,"Westminster, CO"
$100 to $500 million (USD),1001 to 5000 employees,4.0,"Huntsville, AL"
$100 to $500 million (USD),201 to 500 employees,4.5,"Woburn, MA"
$100 to $500 million (USD),501 to 1000 employees,4.5,"Mc Lean, VA"
Unknown / Non-Applicable,10000+ employees,3.9,"Vienna, VA"
$100 to $500 million (USD),1001 to 5000 employees,4.0,"Madison, WI"
$500 million to $1 billion (USD),201 to 500 employees,3.6,"Phila, PA"
$10+ billion (USD),5001 to 10000 employees,3.3,"Winston-Salem, NC"
Unknown / Non-Applicable,51 to 200 employees,5.0,"Indianapolis, IN"
$2 to $5 billion (USD),1001 to 5000 employees,4.1,"San Francisco, CA"
Unknown / Non-Applicable,1001 to 5000 employees,3.2,"San Francisco, CA"
$10 to $25 million (USD),51 to 200 employees,4.9,"Columbia, MD"
Unknown / Non-Applicable,Unknown,-1.0,"Half Moon Bay, CA"
Unknown / Non-Applicable,201 to 500 employees,3.3,"Boston, MA"
Unknown / Non-Applicable,1 to 50 employees,-1.0,"Los Angeles, CA"
Unknown / Non-Applicable,1 to 50 employees,5.0,"London, United Kingdom"
$1 to $5 million (USD),1 to 50 employees,3.4,"Hilliard, OH"
$1 to $5 million (USD),1 to 50 employees,4.1,"Hanover, MD"
$10 to $25 million (USD),51 to 200 employees,5.0,"Arlington, VA"
$100 to $500 million (USD),201 to 500 employees,4.2,"Irvine, CA"
$5 to $10 billion (USD),10000+ employees,3.7,"Mc Lean, VA"
$1 to $2 billion (USD),5001 to 10000 employees,3.8,"Kansas City, MO"
$1 to $5 million (USD),201 to 500 employees,4.8,"Bengaluru, India"
$2 to $5 billion (USD),10000+ employees,3.5,"Menlo Park, CA"
$100 to $500 million (USD),501 to 1000 employees,4.6,"Cedar Rapids, IA"
Less than $1 million (USD),1 to 50 employees,4.5,"Alpharetta, GA"
$2 to $5 billion (USD),1001 to 5000 employees,3.9,"Paris, France"
Unknown / Non-Applicable,Unknown,3.4,-1
$1 to $5 million (USD),1 to 50 employees,-1.0,"Princeton, NJ"
$10 to $25 million (USD),51 to 200 employees,4.1,"McLean, VA"
Unknown / Non-Applicable,501 to 1000 employees,3.7,"New York, NY"
$1 to $5 million (USD),201 to 500 employees,3.5,"Saint Louis, MO"
$5 to $10 million (USD),51 to 200 employees,4.6,"Memphis, TN"
Unknown / Non-Applicable,Unknown,-1.0,"Washington, DC"
Unknown / Non-Applicable,1 to 50 employees,-1.0,"Cincinnati, OH"
$50 to $100 million (USD),51 to 200 employees,4.4,"San Francisco, CA"
Unknown / Non-Applicable,51 to 200 employees,3.6,"Germantown, MD"
$2 to $5 billion (USD),10000+ employees,3.1,"Omaha, NE"
$1 to $5 million (USD),1 to 50 employees,5.0,"Reston, VA"
Unknown / Non-Applicable,1 to 50 employees,5.0,"Clifton Park, NY"
Unknown / Non-Applicable,51 to 200 employees,-1.0,"Leesburg, VA"
Unknown / Non-Applicable,1 to 50 employees,-1.0,"Livonia, MI"
Unknown / Non-Applicable,201 to 500 employees,3.5,"San Carlos, CA"
Less than $1 million (USD),1 to 50 employees,-1.0,"Boston, MA"
Unknown / Non-Applicable,1 to 50 employees,5.0,"Ashburn, VA"
Unknown / Non-Applicable,10000+ employees,2.7,"Nashville, TN"
$100 to $500 million (USD),1001 to 5000 employees,4.1,"Alexandria, VA"
Unknown / Non-Applicable,Unknown,2.1,"Los Angeles, CA"
Unknown / Non-Applicable,501 to 1000 employees,4.8,"New York, NY"
$25 to $50 million (USD),201 to 500 employees,4.5,"Saint Louis, MO"
$2 to $5 billion (USD),5001 to 10000 employees,4.0,"San Rafael, CA"
$5 to $10 billion (USD),10000+ employees,3.3,"Edison, NJ"
$10+ billion (USD),10000+ employees,3.9,"Basel, Switzerland"
$100 to $500 million (USD),1001 to 5000 employees,3.2,"Somerset, NJ"
Unknown / Non-Applicable,1001 to 5000 employees,3.2,"Ventura, CA"
$10+ billion (USD),10000+ employees,3.7,"Armonk, NY"
$25 to $50 million (USD),51 to 200 employees,4.4,"Fairfax, VA"
$1 to $5 million (USD),1 to 50 employees,3.1,"San Jose, CA"
$1 to $2 billion (USD),10000+ employees,3.3,"Kent, OH"
$50 to $100 million (USD),501 to 1000 employees,3.5,"Trumbull, CT"
Less than $1 million (USD),1 to 50 employees,-1.0,"Westlake Village, CA"
Unknown / Non-Applicable,501 to 1000 employees,2.6,"Pittsburgh, PA"
-1,-1,-1.0,-1
$100 to $500 million (USD),1001 to 5000 employees,2.7,"New York, NY"
Unknown / Non-Applicable,501 to 1000 employees,3.5,"Minneapolis, MN"
$5 to $10 million (USD),1 to 50 employees,3.2,"Chadds Ford, PA"
$100 to $500 million (USD),201 to 500 employees,3.8,"Carson, CA"
Less than $1 million (USD),51 to 200 employees,4.2,"Edison, NJ"
Unknown / Non-Applicable,1 to 50 employees,4.8,"North Brunswick, NJ"
$10 to $25 million (USD),51 to 200 employees,4.2,"Chicago, IL"
Unknown / Non-Applicable,501 to 1000 employees,3.3,"Chicago, IL"
$50 to $100 million (USD),1001 to 5000 employees,4.0,"San Ramon, CA"
Unknown / Non-Applicable,51 to 200 employees,3.9,"New York, NY"
$100 to $500 million (USD),1001 to 5000 employees,3.7,"Maple Plain, MN"
$50 to $100 million (USD),501 to 1000 employees,3.9,"Los Angeles, CA"
$10+ billion (USD),10000+ employees,3.5,"San Jose, CA"
Unknown / Non-Applicable,1 to 50 employees,4.0,"Stamford, CT"
$2 to $5 billion (USD),1001 to 5000 employees,3.0,"Lincoln, NE"
$2 to $5 billion (USD),5001 to 10000 employees,3.7,"Atlanta, GA"
Less than $1 million (USD),1 to 50 employees,4.5,"New York, NY"
$25 to $50 million (USD),51 to 200 employees,2.8,"Arlington, VA"
$10 to $25 million (USD),201 to 500 employees,4.1,"Santa Clara, CA"
$50 to $100 million (USD),201 to 500 employees,2.9,"Kent, WA"
$100 to $500 million (USD),201 to 500 employees,4.7,"Annapolis Junction, MD"
$100 to $500 million (USD),1001 to 5000 employees,3.4,"Saint Paul, MN"
$2 to $5 billion (USD),1001 to 5000 employees,3.9,"Glen Allen, VA"
$100 to $500 million (USD),201 to 500 employees,2.9,"Reston, VA"
$1 to $2 billion (USD),5001 to 10000 employees,4.5,"Laurel, MD"
Unknown / Non-Applicable,1 to 50 employees,4.9,"Cambridge, MA"
$1 to $5 million (USD),1 to 50 employees,5.0,"Woodbine, MD"
Unknown / Non-Applicable,501 to 1000 employees,3.3,"Chicago, IL"
Unknown / Non-Applicable,1001 to 5000 employees,3.5,"Chevy Chase, MD"
$1 to $5 million (USD),1 to 50 employees,3.5,"Aliso Viejo, CA"
Less than $1 million (USD),1 to 50 employees,4.0,"Plainsboro, NJ"
$1 to $5 million (USD),51 to 200 employees,3.9,"Vienna, VA"
$100 to $500 million (USD),201 to 500 employees,3.4,"Denver, CO"
$10+ billion (USD),10000+ employees,3.5,"San Francisco, CA"
$1 to $5 million (USD),1 to 50 employees,4.7,"Fairmont, WV"
-1,-1,-1.0,-1
-1,-1,-1.0,-1
-1,-1,-1.0,-1
-1,-1,-1.0,-1
-1,-1,-1.0,-1
-1,-1,-1.0,-1
$10 to $25 million (USD),1 to 50 employees,4.6,"Houston, TX"
$10 to $25 million (USD),51 to 200 employees,4.0,"Jersey City, NJ"
$1 to $5 million (USD),1 to 50 employees,4.0,"Cherry Hill, NJ"
Unknown / Non-Applicable,1 to 50 employees,-1.0,-1
$10 to $25 million (USD),51 to 200 employees,4.7,"Itasca, IL"
$25 to $50 million (USD),51 to 200 employees,3.5,"San Francisco, CA"
$1 to $5 million (USD),1 to 50 employees,5.0,"Woodbine, MD"
$10+ billion (USD),10000+ employees,4.1,"Basel, Switzerland"
$10+ billion (USD),10000+ employees,4.0,"Cambridge, United Kingdom"
Unknown / Non-Applicable,201 to 500 employees,3.6,"Los Angeles, CA"
Unknown / Non-Applicable,1 to 50 employees,5.0,"Coconut Creek, FL"
$2 to $5 billion (USD),5001 to 10000 employees,3.5,"Westminster, CO"
Less than $1 million (USD),Unknown,4.7,"Lombard, IL"
$2 to $5 billion (USD),5001 to 10000 employees,3.5,"Westminster, CO"
Unknown / Non-Applicable,501 to 1000 employees,3.6,"Honolulu, HI"
$500 million to $1 billion (USD),1001 to 5000 employees,3.9,"San Antonio, TX"
Unknown / Non-Applicable,51 to 200 employees,2.7,"Chantilly, VA"
Unknown / Non-Applicable,201 to 500 employees,4.8,"Boston, MA"
-1,-1,-1.0,-1
$5 to $10 million (USD),51 to 200 employees,4.0,"Columbus, OH"
$10 to $25 million (USD),51 to 200 employees,3.8,"Arlington, VA"
Unknown / Non-Applicable,501 to 1000 employees,4.2,"Pleasanton, CA"
$500 million to $1 billion (USD),1001 to 5000 employees,3.9,"San Antonio, TX"
Unknown / Non-Applicable,Unknown,-1.0,"New York, NY"
Unknown / Non-Applicable,1 to 50 employees,4.5,"New York, 061"
$100 to $500 million (USD),201 to 500 employees,3.5,"Seattle, WA"
$1 to $2 billion (USD),1001 to 5000 employees,2.7,"Carle Place, NY"
$25 to $50 million (USD),51 to 200 employees,3.5,"Alexandria, VA"
Unknown / Non-Applicable,1 to 50 employees,4.9,"Chicago, IL"
$25 to $50 million (USD),51 to 200 employees,3.6,"Rockville, MD"
Unknown / Non-Applicable,1 to 50 employees,5.0,"Germantown, MD"
$1 to $5 million (USD),1 to 50 employees,3.1,"Pleasanton, CA"
Unknown / Non-Applicable,501 to 1000 employees,3.9,"San Francisco, CA"
$25 to $50 million (USD),51 to 200 employees,3.4,"Orlando, FL"
$10+ billion (USD),10000+ employees,4.1,"Cupertino, CA"
$1 to $2 billion (USD),10000+ employees,4.1,"Tampa, FL"
Unknown / Non-Applicable,201 to 500 employees,3.5,"Denver, CO"
$100 to $500 million (USD),501 to 1000 employees,4.3,"Reston, VA"
$100 to $500 million (USD),201 to 500 employees,4.4,"Chicago, IL"
$50 to $100 million (USD),1001 to 5000 employees,3.8,"Folsom, CA"
Unknown / Non-Applicable,5001 to 10000 employees,3.7,"Raleigh, NC"
$500 million to $1 billion (USD),1001 to 5000 employees,3.9,"San Antonio, TX"
$25 to $50 million (USD),501 to 1000 employees,3.9,"Reston, VA"
$10+ billion (USD),5001 to 10000 employees,3.7,"Springfield, MA"
$25 to $50 million (USD),501 to 1000 employees,2.9,"Reston, VA"
Unknown / Non-Applicable,51 to 200 employees,4.6,"Totowa, NJ"
$10 to $25 million (USD),201 to 500 employees,3.4,"Cedar Rapids, IA"
$10+ billion (USD),10000+ employees,4.0,"Hartford, CT"
$100 to $500 million (USD),201 to 500 employees,3.3,"Emeryville, CA"
$25 to $50 million (USD),51 to 200 employees,4.3,"Austin, TX"
Unknown / Non-Applicable,501 to 1000 employees,3.9,"San Francisco, CA"
Unknown / Non-Applicable,1001 to 5000 employees,3.6,"San Francisco, CA"
$100 to $500 million (USD),1001 to 5000 employees,4.7,"San Francisco, CA"
$10+ billion (USD),5001 to 10000 employees,3.6,"Cambridge, MA"
-1,-1,-1.0,-1
Unknown / Non-Applicable,501 to 1000 employees,3.3,"Chicago, IL"
$500 million to $1 billion (USD),501 to 1000 employees,3.3,"San Diego, CA"
$25 to $50 million (USD),51 to 200 employees,3.8,"Rome, NY"
Unknown / Non-Applicable,501 to 1000 employees,4.5,"McLean, VA"
$25 to $50 million (USD),51 to 200 employees,4.5,"Falls Church, VA"
$1 to $2 billion (USD),1001 to 5000 employees,3.4,"Herndon, VA"
$500 million to $1 billion (USD),1001 to 5000 employees,3.1,"Milan, IL"
$2 to $5 billion (USD),5001 to 10000 employees,4.0,"San Rafael, CA"
Unknown / Non-Applicable,501 to 1000 employees,3.3,"Chicago, IL"
$100 to $500 million (USD),1001 to 5000 employees,4.1,"Raleigh, NC"
$100 to $500 million (USD),51 to 200 employees,4.2,"Orlando, FL"
Unknown / Non-Applicable,1 to 50 employees,3.9,"New York, NY"
Unknown / Non-Applicable,Unknown,-1.0,"Marbella, Spain"
$1 to $2 billion (USD),5001 to 10000 employees,3.3,"Bedford, MA"
$10+ billion (USD),10000+ employees,3.9,"Mc Lean, VA"
$10 to $25 million (USD),51 to 200 employees,4.5,"Santa Cruz, CA"
$100 to $500 million (USD),501 to 1000 employees,4.2,"Simi Valley, CA"
$2 to $5 billion (USD),5001 to 10000 employees,3.5,"Westminster, CO"
$100 to $500 million (USD),1001 to 5000 employees,4.0,"Huntsville, AL"
$100 to $500 million (USD),201 to 500 employees,4.5,"Woburn, MA"
$100 to $500 million (USD),501 to 1000 employees,4.5,"Mc Lean, VA"
Unknown / Non-Applicable,501 to 1000 employees,3.8,"Austin, TX"
Unknown / Non-Applicable,10000+ employees,3.9,"Vienna, VA"
Unknown / Non-Applicable,51 to 200 employees,2.0,"Bedford, MA"
Unknown / Non-Applicable,51 to 200 employees,4.8,"South San Francisco, CA"
Unknown / Non-Applicable,10000+ employees,3.9,"Vienna, VA"
$10+ billion (USD),5001 to 10000 employees,3.3,"Winston-Salem, NC"
$1 to $2 billion (USD),5001 to 10000 employees,3.3,"Bedford, MA"
Unknown / Non-Applicable,51 to 200 employees,5.0,"Indianapolis, IN"
Unknown / Non-Applicable,51 to 200 employees,4.4,"Bedford, MA"
$10 to $25 million (USD),51 to 200 employees,3.4,"Chicago, IL"
$1 to $2 billion (USD),1001 to 5000 employees,3.3,"Rancho Cucamonga, CA"
Unknown / Non-Applicable,51 to 200 employees,2.9,"New York, NY"
$2 to $5 billion (USD),10000+ employees,3.8,"Albuquerque, NM"
$2 to $5 billion (USD),5001 to 10000 employees,3.5,"Westminster, CO"
$10+ billion (USD),10000+ employees,4.0,"Cambridge, United Kingdom"
$2 to $5 billion (USD),5001 to 10000 employees,4.0,"San Rafael, CA"
$100 to $500 million (USD),1001 to 5000 employees,3.4,"Saint Paul, MN"
$10+ billion (USD),10000+ employees,3.9,"Brentford, United Kingdom"
Unknown / Non-Applicable,Unknown,3.8,"Langley, VA"
$50 to $100 million (USD),201 to 500 employees,4.5,"Chicago, IL"
$10 to $25 million (USD),51 to 200 employees,4.3,"Minneapolis, MN"
Unknown / Non-Applicable,1 to 50 employees,3.6,"New York, NY"
Unknown / Non-Applicable,10000+ employees,2.9,"Nashville, TN"
$100 to $500 million (USD),201 to 500 employees,2.9,"Reston, VA"
$25 to $50 million (USD),51 to 200 employees,3.2,"Los Angeles, CA"
$1 to $2 billion (USD),5001 to 10000 employees,4.5,"Laurel, MD"
$1 to $5 million (USD),1 to 50 employees,5.0,"Woodbine, MD"
$1 to $5 million (USD),1 to 50 employees,3.5,"Aliso Viejo, CA"
Less than $1 million (USD),1 to 50 employees,4.0,"Plainsboro, NJ"
$100 to $500 million (USD),51 to 200 employees,4.4,"Reston, VA"
$1 to $2 billion (USD),10000+ employees,4.2,"Aliso Viejo, CA"
$1 to $5 million (USD),1 to 50 employees,3.2,"Plano, TX"
$25 to $50 million (USD),51 to 200 employees,3.4,"Fairfax, VA"
$1 to $5 million (USD),1 to 50 employees,4.7,"Fairmont, WV"
Unknown / Non-Applicable,201 to 500 employees,3.6,"South Jordan, UT"
$1 to $2 billion (USD),5001 to 10000 employees,4.2,"Herndon, VA"
-1,-1,-1.0,-1
$10+ billion (USD),10000+ employees,3.2,"Bethesda, MD"
Unknown / Non-Applicable,Unknown,-1.0,"McLean, VA"
$2 to $5 billion (USD),1001 to 5000 employees,2.8,"Albertville, AL"
$1 to $2 billion (USD),10000+ employees,4.2,"Aliso Viejo, CA"
Unknown / Non-Applicable,51 to 200 employees,4.5,"Fairfax, VA"
$10 to $25 million (USD),51 to 200 employees,3.0,"Bellevue, WA"
$1 to $2 billion (USD),5001 to 10000 employees,3.3,"San Diego, CA"
Less than $1 million (USD),1 to 50 employees,4.0,"Westlake Village, CA"
Unknown / Non-Applicable,501 to 1000 employees,3.5,"Orange, CA"
$50 to $100 million (USD),1 to 50 employees,3.5,"New York, NY"
$10 to $25 million (USD),51 to 200 employees,3.6,"Littleton, CO"
Unknown / Non-Applicable,51 to 200 employees,3.0,"Alexandria, VA"
$100 to $500 million (USD),1001 to 5000 employees,4.0,"Reston, VA"
$10 to $25 million (USD),1 to 50 employees,4.6,"Houston, TX"
$100 to $500 million (USD),1001 to 5000 employees,4.3,"Oakville, Canada"
$10 to $25 million (USD),51 to 200 employees,4.7,"Itasca, IL"
Unknown / Non-Applicable,201 to 500 employees,3.7,"Vienna, VA"
$10+ billion (USD),10000+ employees,3.9,"Mc Lean, VA"
Less than $1 million (USD),1 to 50 employees,4.9,"Holmdel, NJ"
$5 to $10 million (USD),51 to 200 employees,3.0,"Fremont, CA"
Unknown / Non-Applicable,5001 to 10000 employees,2.5,"Naperville, IL"
$25 to $50 million (USD),51 to 200 employees,3.5,"San Francisco, CA"
$1 to $5 million (USD),1 to 50 employees,5.0,"Woodbine, MD"
Unknown / Non-Applicable,1 to 50 employees,-1.0,-1
$2 to $5 billion (USD),5001 to 10000 employees,3.5,"Westminster, CO"
Unknown / Non-Applicable,51 to 200 employees,3.0,"San Bruno, CA"
Unknown / Non-Applicable,1 to 50 employees,5.0,"Coconut Creek, FL"
Unknown / Non-Applicable,51 to 200 employees,4.7,"Naperville, IL"
$100 to $500 million (USD),201 to 500 employees,3.3,"Kansas City, MO"
Unknown / Non-Applicable,1001 to 5000 employees,3.3,"Houston, TX"
$2 to $5 billion (USD),10000+ employees,3.5,"Arlington, VA"
$10+ billion (USD),10000+ employees,4.1,"Cupertino, CA"
$2 to $5 billion (USD),5001 to 10000 employees,3.5,"Westminster, CO"
$500 million to $1 billion (USD),1001 to 5000 employees,3.9,"San Antonio, TX"
Unknown / Non-Applicable,51 to 200 employees,4.7,"Danville, CA"
Unknown / Non-Applicable,201 to 500 employees,4.8,"Boston, MA"
-1,-1,-1.0,-1
$10+ billion (USD),10000+ employees,4.0,"Cambridge, United Kingdom"
$10 to $25 million (USD),51 to 200 employees,3.8,"Denver, CO"
$2 to $5 billion (USD),5001 to 10000 employees,3.8,"Sunnyvale, CA"
Unknown / Non-Applicable,51 to 200 employees,2.7,"Chantilly, VA"
$5 to $10 million (USD),51 to 200 employees,4.0,"Columbus, OH"
-1,-1,-1.0,-1
-1,-1,-1.0,-1
$10 to $25 million (USD),51 to 200 employees,3.8,"Arlington, VA"
Unknown / Non-Applicable,10000+ employees,3.2,"Chantilly, VA"
-1,-1,-1.0,-1
Unknown / Non-Applicable,10000+ employees,3.6,"West Chester, PA"
Unknown / Non-Applicable,51 to 200 employees,4.4,"Wilmington, MA"
Unknown / Non-Applicable,501 to 1000 employees,4.1,"Utica, MI"
Unknown / Non-Applicable,1 to 50 employees,-1.0,"Baltimore, MD"
$50 to $100 million (USD),201 to 500 employees,3.8,"Vienna, VA"
$100 to $500 million (USD),1001 to 5000 employees,4.0,"Cambridge, MA"
Unknown / Non-Applicable,1001 to 5000 employees,3.6,"Fort Lee, NJ"
-1,-1,-1.0,-1
-1,-1,-1.0,-1
$1 to $5 million (USD),1 to 50 employees,5.0,"Santa Clara, CA"
$1 to $2 billion (USD),1001 to 5000 employees,2.7,"Carle Place, NY"
